breadscrum,cod_item,cod_item_pai,nome
1,1,0,Magistrado
1:3,3,1,Decisão
1:3:7,7,3,Conversão
1:3:11,11,3,Declaração
14:15:16,16,15,Cálculo
14:18:22,22,18,Baixa Definitiva
1:3:25,25,3,Suspensão ou Sobrestamento
14:18:26,26,18,Distribuição
14:18:36,36,18,Redistribuição
14:48,48,14,Escrivão/Diretor de Secretaria/Secretário Jurídico
14:48:51,51,48,Conclusão
1:3:56,56,3,Requisição de informações
14:48:60,60,48,Expedição de documento
1:3:63,63,3,Ordenação de entrega de autos
14:48:67,67,48,Juntada
1:3:83,83,3,Cancelamento da distribuição
14:48:67:85,85,67,Petição
14:48:92,92,48,Publicação
14:104:105,105,104,Devolução
14:104:105:106,106,105,Mandado
1:3:108,108,3,Decretação de Prisão Criminal
14:104:105:112,112,105,Ofício
1:3:113,113,3,Decretação de Prisão Civil
14:104:115,115,104,Recebimento
1:3:117,117,3,Decretação de Internação
14:48:118,118,48,Protocolo de Petição
1:3:122,122,3,Desacolhimento de Prisão
14:48:123,123,48,Remessa
1:3:157:128,128,157,Prisão
14:48:132,132,48,Recebimento
1:3:133,133,3,Acolhimento de exceção
14:48:135,135,48,Apensamento
14:48:137,137,48,Desapensamento
1:3:138,138,3,Rejeição
1:3:146,146,3,Não-Homologação de prisão em flagrante
1:3:151,151,3,Concessão de efeito suspensivo
1:3:157,157,3,Revogação
1:3:160,160,3,Recebimento
1:3:163,163,3,Não-Recebimento
1:3:172,172,3,Deliberação da partilha
1:3:378:175,175,378,Prisão em flagrante
1:3:190,190,3,Reforma de decisão anterior
1:193,193,1,Julgamento
1:193:385:196,196,385,Extinção da execução ou do cumprimento da sentença
1:193:385:198,198,385,Acolhimento de Embargos de Declaração
1:193:385:200,200,385,Não-Acolhimento de Embargos de Declaração
1:193:385:202,202,385,Decretação de falência
1:3:206,206,3,Admissão
1:3:207,207,3,Não-Admissão
1:193:385:208,208,385,Não-Decretação de Falência
1:193:385:210,210,385,Concessão
1:193:385:212,212,385,Denegação
1:193:385:214,214,385,Concessão em Parte
1:193:218,218,193,Sem Resolução de Mérito
1:193:385:219,219,385,Procedência
1:193:385:220,220,385,Improcedência
1:193:385:221,221,385,Procedência em Parte
1:193:218:228,228,218,Arquivamento
1:193:218:230,230,218,Recurso prejudicado
1:193:218:235,235,218,Não Conhecimento de recurso
1:193:218:236,236,218,Negação de Seguimento
1:193:385:237,237,385,Provimento
1:193:385:238,238,385,Provimento em Parte
1:193:385:239,239,385,Não-Provimento
1:193:385:240,240,385,Conhecimento em Parte e Provimento
1:193:385:241,241,385,Conhecimento em Parte e Provimento em Parte
1:193:385:242,242,385,Conhecimento em Parte e Não-Provimento
1:193:218:244,244,218,Conversão de Agravo de Instrumento em Agravo Retido
14:48:861:245,245,861,Provisório
14:48:861:246,246,861,Definitivo
1:3:25:263,263,25,Réu revel citado por edital 
1:3:25:264,264,25,Suspensão Condicional do Processo
1:3:25:265,265,25,Recurso Extraordinário com repercussão geral
1:3:7:266,266,7,Julgamento em Diligência
1:3:25:268,268,25,Morte ou perda da capacidade
1:3:11:269,269,11,Impedimento ou Suspeição
1:3:25:270,270,25,Convenção das Partes
1:3:25:271,271,25,"Exceção de Incompetência, suspeição ou Impedimento"
1:3:25:272,272,25,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente"
1:3:25:275,275,25,Força maior
1:3:25:276,276,25,Execução frustrada
1:3:25:277,277,25,Convenção das Partes para Cumprimento Voluntário da obrigação
1:3:25:278,278,25,Recebimento de Embargos à Execução
1:3:25:279,279,25,Incidente de Insanidade Mental
14:48:311,311,48,Leilão ou Praça
14:48:313,313,48,Sessão do Tribunal do Júri
1:3:817:332,332,817,Antecipação de tutela
1:3:968:334,334,968,Assistência judiciária gratuita
1:3:133:335,335,133,de pré-executividade
1:3:817:339,339,817,Liminar
1:3:157:347,347,157,Antecipação de Tutela
1:3:157:348,348,157,Liminar
1:3:157:349,349,157,Assistência Judiciária Gratuita
1:3:108:352,352,108,Temporária
1:3:108:353,353,108,Preventiva
1:3:113:354,354,113,Alimentos
1:3:113:355,355,113,Depositário infiel
1:3:122:357,357,122,Temporária
1:3:122:358,358,122,Preventiva
1:3:133:371,371,133,Incompetência
1:3:138:373,373,138,Exceção de Impedimento ou Suspeição
1:3:138:374,374,138,Exceção de incompetência
1:3:378:377,377,378,Acordo em execução ou em cumprimento de sentença
1:3:378,378,3,Homologação
1:3:151:381,381,151,Recurso
1:3:151:383,383,151,Impugnação ao cumprimento de sentença
1:193:385,385,193,Com Resolução do Mérito
1:3:160:388,388,160,Aditamento da denúncia
1:3:160:389,389,160,Aditamento da queixa
1:3:160:390,390,160,Aditamento do libelo
1:3:160:391,391,160,Denúncia
1:3:160:392,392,160,Libelo
1:3:160:393,393,160,Queixa
1:3:160:1060:394,394,1060,Com efeito suspensivo
1:3:138:399,399,138,Aditamento da denúncia
1:3:138:400,400,138,Aditamento da queixa
1:3:138:402,402,138,Denúncia
1:3:138:404,404,138,Queixa
14:48:417,417,48,Inclusão em pauta
1:3:206:429,429,206,Recurso extraordinário
1:3:206:430,430,206,Recurso especial
1:3:206:431,431,206,Recurso de revista
1:3:207:432,432,207,Recurso Extraordinário
1:3:207:433,433,207,Recurso Especial
1:3:207:434,434,207,Recurso de Revista
1:193:385:210:442,442,210,Segurança
1:193:385:210:443,443,210,Habeas corpus
1:193:385:210:444,444,210,Habeas data
1:193:385:210:445,445,210,Mandado de injunção
1:193:385:212:446,446,212,Segurança
1:193:385:212:447,447,212,Habeas corpus
1:193:385:212:448,448,212,Habeas data
1:193:385:212:449,449,212,Mandado de injunção
1:193:385:214:450,450,214,Segurança
1:193:385:214:451,451,214,Habeas corpus
1:193:385:214:452,452,214,Habeas data
1:193:385:214:453,453,214,Mandado de injunção
1:193:218:456:454,454,456,Indeferimento da petição inicial
1:193:385:455,455,385,Renúncia ao direito pelo autor
1:193:218:456,456,218,Extinção
1:193:218:456:457,457,456,Paralisação por negligência das partes
1:193:218:456:458,458,456,Abandono da causa
1:193:218:456:459,459,456,Ausência de pressupostos processuais
1:193:218:456:460,460,456,"Perempção, litispendência ou coisa julgada"
1:193:218:456:461,461,456,Ausência das condições da ação
1:193:218:456:462,462,456,Convenção de arbitragem
1:193:218:456:463,463,456,Desistência
1:193:218:456:464,464,456,Ação intransmissível
1:193:218:456:465,465,456,Confusão entre autor e réu
1:193:385:466,466,385,Homologação de Transação
1:193:385:471,471,385,Pronúncia de Decadência ou Prescrição
1:193:218:228:472,472,228,"Sumaríssimo (art. 852-B, § 1º/CLT)"
1:193:218:228:473,473,228,Ausência do Reclamante
14:15:16:478,478,16,Cálculo de Liquidação
14:15:16:479,479,16,Custas
14:15:16:480,480,16,Atualização de conta
14:15:16:481,481,16,Tributos
14:18:488,488,18,Cancelamento de Distribuição
14:48:493,493,48,Entrega em carga/vista
14:48:67:581,581,67,Documento
1:3:968:785,785,968,Antecipação de tutela
1:3:817:787,787,817,Assistência Judiciária Gratuita
1:3:138:788,788,138,Exceção de pré-executividade
1:3:968:792,792,968,Liminar
1:3:163:799,799,163,Aditamento do libelo
1:3:163:803,803,163,Libelo
1:3:163:804,804,163,Recurso
1:3:817,817,3,Concessão
1:3:817:818,818,817,Liberdade provisória
1:3:817:819,819,817,Livramento Condicional
1:3:7:821,821,7,Pena / Medida
1:3:117:823,823,117,Provisória
1:3:117:824,824,117,Definitiva
14:48:848,848,48,Trânsito em julgado
14:48:849,849,48,Reativação
1:193:218:853,853,218,Conversão de Agravo de Instrumento em Recurso Especial ou Extraordinário
14:48:861,861,48,Arquivamento
14:865,865,14,Arquivista
14:865:866,866,865,Guarda Intermediária
14:865:867,867,865,Guarda Permanente
14:865:869,869,865,Entrega definitiva dos autos
14:865:870,870,865,Autos Eliminados
1:193:385:871,871,385,Acolhimento em parte de Embargos de Declaração
14:48:873,873,48,Deliberação em Sessão
1:193:385:884,884,385,Transação Penal
1:3:888,888,3,Concessão em parte
1:3:888:889,889,888,Antecipação de Tutela
1:3:888:892,892,888,Liminar
14:48:893,893,48,Desarquivamento
14:48:897,897,48,Retirada de pauta
1:3:25:898,898,25,Por decisão judicial
1:193:385:900,900,385,Declaração de competência em conflito
1:193:385:901,901,385,Negação de seguimento
1:3:113:905,905,113,"de estrangeiro para deportação, expulsão ou extradição"
14:48:928,928,48,Republicação
1:3:133:940,940,133,Impedimento ou Suspeição
1:3:11:941,941,11,Incompetência
1:3:378:944,944,378,Desistência de Recurso
1:3:157:945,945,157,Decisão anterior
1:3:25:947,947,25,Por pendência de AIREsp
1:3:25:960,960,25,Conflito de Competência
1:3:961,961,3,Suscitação de Conflito de Competência
1:3:968,968,3,Não-Concessão
14:48:970,970,48,Audiência
1:3:25:971,971,25,Exceção da Verdade
1:193:385:972,972,385,Provimento (art. 557 do CPC)
1:193:385:973,973,385,Extinção da Punibilidade
14:865:977,977,865,Recebimento
14:865:978,978,865,Remessa
14:15:979,979,15,Recebimento
14:15:980,980,15,Remessa
14:18:981,981,18,Recebimento
14:18:982,982,18,Remessa
14:104:115:985,985,115,Mandado
14:104:115:987,987,115,Ofício
1:3:817:988,988,817,Permissão de saída
1:3:817:990,990,817,Direito de visita
1:3:817:1002,1002,817,Progressão de regime
1:3:11:1003,1003,11,Remição
1:3:157:1004,1004,157,Livramento Condicional
1:3:1008,1008,3,Autorização
1:3:1008:1009,1009,1008,Trabalho Externo
1:3:1008:1010,1010,1008,Saída Temporária
1:3:1008:1011,1011,1008,Inclusão em Regime Disciplinar Diferenciado
1:3:1013,1013,3,Determinação
1:3:1013:1014,1014,1013,Regressão de Regime
1:3:1013:1015,1015,1013,Suspensão do Processo
1:3:157:1016,1016,157,Suspensão Condicional da Pena
1:3:817:1017,1017,817,Suspensão Condicional da Pena
1:3:1008:1018,1018,1008,Transferência para outro Estabelecimento Penal
1:3:1008:1019,1019,1008,Transferência da Execução da Pena
1:193:385:973:1042,1042,973,Morte do agente
1:193:385:973:1043,1043,973,"Anistia, graça ou indulto"
1:193:385:973:1044,1044,973,Retroatividade de lei
1:193:385:973:1045,1045,973,"Prescrição, decadência ou perempção"
1:193:385:973:1046,1046,973,Renúncia do queixoso ou perdão aceito 
1:193:385:973:1047,1047,973,Retratação do agente
1:193:385:973:1048,1048,973,Perdão judicial
1:193:385:973:1049,1049,973,Pagamento integral do débito
1:193:385:973:1050,1050,973,Cumprimento da Pena
14:48:1051,1051,48,Decurso de Prazo
14:48:1052,1052,48,Bens Apreendidos
14:48:1052:1053,1053,1052,Destinação
14:48:1052:1054,1054,1052,Destinação Parcial
14:48:1052:1055,1055,1052,Cadastramento
1:3:160:1060:1059,1059,1060,Sem efeito suspensivo
1:3:160:1060,1060,160,Recurso
14:48:1061,1061,48,Disponibilização no Diário da Justiça Eletrônico
14:48:1062,1062,48,Redisponibilização no Diário da Justiça Eletrônico
1:3:1013:1063,1063,1013,Determinação de arquivamento de procedimentos investigatórios
1:193:218:10953,10953,218,Pronúncia
1:193:218:10961,10961,218,Impronúncia
1:3:1013:10962,10962,1013,Regressão de Medida Sócio-Educativa
1:3:817:10963,10963,817,Progressão de Medida Sócio-Educativa
1:193:385:10964,10964,385,Extinção por Cumprimento de Medida Sócio-Educativa
1:193:385:210:10965,10965,210,Remissão a Adolescente Infrator
14:48:10966,10966,48,Mudança de Classe Processual
1:3:157:11002,11002,157,Revogação da Suspensão do Processo
14:48:11003,11003,48,Início do Cumprimento da Transação Penal
14:48:11008,11008,48,Desmembramento de Feitos
1:11009,11009,1,Despacho
1:11009:11010,11010,11009,Mero expediente
1:3:378:11011,11011,378,Homologada a Remissão
1:11009:11025:11012,11012,11025,Conflito de Competência
1:11009:11025:11013,11013,11025,Convenção das Partes
1:11009:11025:11014,11014,11025,Convenção das Partes para Cumprimento Voluntário da obrigação
1:11009:11025:11015,11015,11025,"Exceção de Incompetência, suspeição ou Impedimento"
1:11009:11025:11016,11016,11025,Exceção da Verdade
1:11009:11025:11017,11017,11025,Incidente de Insanidade Mental
1:11009:11025:11018,11018,11025,Recebimento de Embargos à Execução
1:11009:11019,11019,11009,Ordenação de entrega de autos
1:11009:11020,11020,11009,Requisição de Informações
1:11009:11021:11022,11022,11021,Julgamento em Diligência
1:11009:11023:11024,11024,11023,Assistência Judiciária Gratuita
1:11009:11025,11025,11009,Suspensão ou Sobrestamento
1:193:218:11373,11373,218,Anulação de sentença/acórdão
1:193:218:456:11374,11374,456,Devedor não encontrado
1:193:218:456:11375,11375,456,Inexistência de bens penhoráveis
1:193:218:456:11376,11376,456,Ausência do autor à audiência
1:193:218:456:11377,11377,456,Inadmissibilidade do procedimento sumaríssimo
1:193:218:456:11378,11378,456,Incompetência territorial
1:193:218:456:11379,11379,456,Incompetência em razão da pessoa
1:193:218:456:11380,11380,456,Autor falecido e sem habilitação de sucessores
1:193:218:456:11381,11381,456,Ausência de citação de sucessores do réu falecido
1:3:1013:11382,11382,1013,Bloqueio/penhora on line
14:48:11383,11383,48,Ato ordinatório
14:48:11384,11384,48,Liquidação iniciada
14:48:11385,11385,48,Execução iniciada
1:3:117:11393,11393,117,Sanção
1:193:218:11394,11394,218,Homologada a Remissão
1:3:817:11395,11395,817,Remissão ao adolescente com suspensão do processo
1:193:218:11396,11396,218,Concessão de remissão a adolescente com exclusão do processo
1:193:385:11401,11401,385,Procedência do pedido e procedência do pedido contraposto
1:193:385:11402,11402,385,Procedência do pedido e procedência em parte do pedido contraposto
1:193:385:11403,11403,385,Procedência do pedido e improcedência do pedido contraposto
1:193:385:11404,11404,385,Procedência em parte do pedido e procedência do pedido contraposto
1:193:385:11405,11405,385,Procedência em parte do pedido e procedência em parte do pedido contraposto
1:193:385:11406,11406,385,Procedência em parte do pedido e improcedência do pedido contraposto
1:193:385:11407,11407,385,Improcedência do pedido e procedência do pedido contraposto
1:193:385:11408,11408,385,Improcedência do pedido e procedência em parte do pedido contraposto
1:193:385:11409,11409,385,Improcedência do pedido e improcedência do pedido contraposto
1:193:385:973:11411,11411,973,Cumprimento da suspensão condicional do processo
1:3:817:11415,11415,817,Comutação da pena
1:3:817:11423,11423,817,Medida protetiva
1:3:888:11424,11424,888,Medida protetiva
1:3:968:11425,11425,968,Medida protetiva
1:3:157:11426,11426,157,Medida protetiva
1:3:817:11554,11554,817,Indulto
1:3:25:11792,11792,25,Livramento Condicional
1:193:385:11795,11795,385,Procedência do Pedido - Reconhecimento pelo réu
1:193:385:11796,11796,385,Declaração de competência em conflito
1:193:385:973:11801,11801,973,Reparação do dano
1:193:385:11876,11876,385,Absolvição Sumária do art. 397-CPP
1:193:385:11877,11877,385,Absolvição sumária - crimes dolosos contra a vida
1:193:385:973:11878,11878,973,Prescrição
1:193:385:973:11879,11879,973,Decadência ou perempção
1:3:25:11975,11975,25,Recurso Especial repetitivo
14:48:11983,11983,48,Retificação de movimento
1:193:385:973:12028,12028,973,Cumprimento de transação penal
1:193:385:210:12032,12032,210,Exequatur
1:3:378:12033,12033,378,Sentença Estrangeira
1:3:968:12034,12034,968,Exequatur
1:3:160:12035,12035,160,Representação por ato infracional
1:3:138:12036,12036,138,Representação por ato infracional
1:3:1013:12037,12037,1013,Quebra de sigilo fiscal
1:3:1013:12038,12038,1013,Quebra de sigilo bancário
1:3:1013:12039,12039,1013,Quebra de sigilo telemático
1:3:1013:12040,12040,1013,Indisponibilidade de bens
1:193:385:210:12041,12041,210,Recuperação judicial
14:48:12065,12065,48,Cumprimento de Suspensão ou Sobrestamento
14:48:12066,12066,48,Cumprimento de Levantamento da Suspensão ou Dessobrestamento
1:3:12067,12067,3,Levantamento da Suspensão ou Dessobrestamento
1:11009:12068,12068,11009,Levantamento da Suspensão ou Dessobrestamento
1:3:12092,12092,3,Afetação ao rito dos recursos repetitivos 
1:3:12093,12093,3,Desafetação ao rito dos recursos repetitivos 
1:3:206:12094,12094,206,Incidente de Resolução de demandas repetitivas (art. 981 e 982)
1:3:207:12095,12095,207,Incidente de resolução de demandas repetitivas
1:3:206:12096,12096,206,Incidente de assunção de competência
1:3:207:12097,12097,207,Incidente de assunção de competência 
1:3:25:12098,12098,25,Incidente de Resolução de Demandas Repetitivas 
1:3:25:12099,12099,25,Por decisão do Presidente do STJ -  IRDR
1:3:25:12100,12100,25,Por decisão do Presidente do STF  - IRDR
14:48:12103,12103,48,Pauta
14:48:12103:12104,12104,12103,Inclusão em pauta
14:48:12103:12105,12105,12103,Inclusão do processo para julgamento eletrônico
14:48:12103:12106,12106,12103,Adiamento do julgamento (art. 935 do CPC)
14:48:12103:12105:12107,12107,12105,Para análise de repercussão geral
14:48:12103:12104:12108,12108,12104,Para análise de repercussão geral
14:48:12103:12105:12109,12109,12105,Para análise da admissão do recurso repetitivo 
14:48:12103:12104:12110,12110,12104,Para análise da admissão do recurso repetitivo 
14:48:12103:12104:12111,12111,12104,Para análise da admissão do IRDR
14:48:12103:12105:12112,12112,12105,Para análise da admissão do IRDR
14:48:12103:12105:12113,12113,12105,Para análise da admissão do IAC
14:48:12103:12104:12114,12114,12104,Para análise da admissão do IAC
14:48:12103:12104:12115,12115,12104,Para julgamento de mérito
14:48:12103:12105:12116,12116,12105,Para julgamento de mérito
1:3:7:12140,12140,7,Prisão em Flagrante em Prisão Preventiva
1:3:12141,12141,3,Relaxamento do Flagrante
14:48:12142,12142,48,Mudança de Parte
14:48:12143,12143,48,Mudança de Assunto Processual
1:3:12144,12144,3,Unificação e Soma de Penas
1:3:157:12145,12145,157,Detração/Remição
1:3:968:12146,12146,968,Liberdade Provisória
1:3:122:12147,12147,122,Domiciliar
1:3:817:12148,12148,817,Prisão Domiciliar
1:3:817:12149,12149,817,Detração/Remição da Pena
1:3:11:12150,12150,11,Impedimento
1:3:11:12151,12151,11,Suspeição
1:3:12164,12164,3,Outras Decisões
14:48:12165,12165,48,Requisição de Pagamento
14:48:12165:12166,12166,12165,Precatório
14:48:12165:12166:12167,12167,12166,Enviada ao Tribunal
14:48:12165:12166:12168,12168,12166,Preparada para Envio
14:48:12165:12166:12169,12169,12166,Paga
