EVENT_LOG	DISCOVERY_ALG	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
Production_Data	IMf	57.48	0.627
Production_Data	IMd	5.91	0.921
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.26	0.8834
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	2.45	0.978
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	10.16	0.4405
edited_hh104_labour	IMf	13.05	0.4603
edited_hh104_labour	IMd	2.18	0.996
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.32	0.4891
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.19	0.4088
activitylog_uci_detailed_labour	IMf	0.85	0.7842
activitylog_uci_detailed_labour	IMd	1.38	1.0
activitylog_uci_detailed_labour	ETM	3.13	0.5449
activitylog_uci_detailed_weekends	IMf	0.14	0.7513
activitylog_uci_detailed_weekends	IMd	0.38	1.0
activitylog_uci_detailed_weekends	ETM	0.72	0.6123
edited_hh102_labour	IMf	0.61	0.7831
edited_hh102_labour	IMd	0.21	0.9951
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	7.42	0.7888
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	6.1	0.9965
VITORIA_-_5a_VARA_CIVEL_-_TJES	ETM	15.06	0.5172
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMd	0.94	0.9434
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.11	0.6655
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.08	0.9988
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.07	0.9615
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	1.09	0.5251
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	1.62	0.95
BPI_Challenge_2014_Control summary	IMf	0.38	0.8945
BPI_Challenge_2014_Control summary	IMd	0.37	0.8963
BPI_Challenge_2014_Control summary	ETM	0.4	0.9975
BPI_Challenge_2014_Department control parcels	IMf	0.26	0.7241
BPI_Challenge_2014_Department control parcels	IMd	0.28	0.9999
BPI_Challenge_2014_Department control parcels	ETM	0.31	0.9928
ElectronicInvoicingENG	IMf	0.34	0.9328
ElectronicInvoicingENG	IMd	0.33	0.9766
ElectronicInvoicingENG	ETM	0.34	0.9238
4a_VARA_CIVEL_-_TJGO	IMf	0.18	0.7447
4a_VARA_CIVEL_-_TJGO	IMd	0.12	0.3084
4a_VARA_CIVEL_-_TJGO	ETM	0.23	0.9051
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.23	0.8075
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	3.3	0.5597
BPI_Challenge_2014_Entitlement application	IMf	7.15	0.9918
BPI_Challenge_2014_Entitlement application	IMd	39.13	0.7156
BPI_Challenge_2014_Entitlement application	ETM	45.49	0.9292
BPI_Challenge_2014_Inspection	IMf	15.02	0.7779
BPI_Challenge_2014_Inspection	IMd	17.13	0.8618
BPI_Challenge_2014_Inspection	ETM	15.3	0.6713
BPI_Challenge_2014_Geo parcel document	IMf	23.62	0.9584
BPI_Challenge_2014_Geo parcel document	IMd	27.41	0.9982
BPI_Challenge_2014_Geo parcel document	ETM	15.05	0.8367
BPI_Challenge_2012	IMf	156.75	0.6209
BPI_Challenge_2012	IMd	68.0	0.7215
BPI_Challenge_2012	ETM	4.9	0.0
edited_hh110_weekends	IMf	11.78	0.9188
edited_hh110_weekends	IMd	0.38	0.9555
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	1.94	0.7044
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	5.05	0.455
BPI_Challenge_2020_InternationalDeclarations	IMf	2.47	0.9272
BPI_Challenge_2020_InternationalDeclarations	IMd	35.05	0.5924
BPI_Challenge_2020_InternationalDeclarations	ETM	2.44	0.8446
DocumentProcessingENG	IMf	0.32	0.8455
DocumentProcessingENG	IMd	0.3	0.9142
DocumentProcessingENG	ETM	0.32	0.8573
edited_hh110_labour	IMf	0.42	0.7628
edited_hh110_labour	IMd	0.31	0.9981
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	0.87	0.9369
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.76	0.9291
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	6.77	0.4857
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.76	0.7536
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	4.03	0.9909
edited_hh104_weekends	IMf	0.63	0.675
edited_hh104_weekends	IMd	0.33	0.9842
edited_hh104_weekends	ETM	6.69	0.5678
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	1.97	0.7214
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMd	2.07	0.9924
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	3.4	0.4878
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMf	1.0	0.9597
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMd	1.47	0.9369
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	ETM	3.18	0.4508
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	IMd	1.82	0.7565
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	ETM	2.31	0.5462
BPI_Challenge_2020_PrepaidTravelCost	IMf	6.74	0.8486
BPI_Challenge_2020_PrepaidTravelCost	IMd	0.93	0.737
BPI_Challenge_2020_PrepaidTravelCost	ETM	0.36	0.9095
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMf	0.55	0.8523
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMd	1.43	0.6931
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	ETM	0.77	0.4689
BPI_Challenge_2014_Reference alignment	IMf	0.49	0.8595
BPI_Challenge_2014_Reference alignment	IMd	0.51	0.8596
BPI_Challenge_2014_Reference alignment	ETM	0.64	0.9829
Hospital Billing - Event Log	IMf	3.86	0.821
Hospital Billing - Event Log	IMd	4.58	0.9983
Hospital Billing - Event Log	ETM	34.63	0.9454
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMf	4.38	0.5886
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMd	2.57	0.9982
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	ETM	2.48	0.7296
Road_Traffic_Fine_Management_Process	IMf	5.53	0.7893
Road_Traffic_Fine_Management_Process	IMd	1.74	0.5796
Road_Traffic_Fine_Management_Process	ETM	0.66	0.84
BPI_Challenge_2020_PermitLog	IMd	112.86	0.711
BPI_Challenge_2020_PermitLog	ETM	10.19	0.7003
BPI_Challenge_2019_log_IEEE	IMd	145.45	0.9592
BPI_Challenge_2019_log_IEEE	ETM	15.7	0.8121
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMf	18.6	0.7852
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMd	36.53	0.9073
Sepsis Cases - Event Log	IMf	2.65	0.7929
Sepsis Cases - Event Log	IMd	8.86	0.7738
Sepsis Cases - Event Log	ETM	7.74	0.7409
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMd	97.3	0.9368
BPI_Challenge_2013_open_problems	IMf	0.13	0.9783
BPI_Challenge_2013_open_problems	IMd	0.11	1.0
BPI_Challenge_2013_open_problems	ETM	0.16	0.0
BPI_Challenge_2013_incidents	IMf	0.81	0.7246
BPI_Challenge_2013_incidents	IMd	0.76	1.0
BPI_Challenge_2013_incidents	ETM	0.91	0.0
BPI Challenge 2017	IMf	394.87	0.8468
BPI Challenge 2017	IMd	535.19	0.8612
BPI Challenge 2017	ETM	204.27	0.8289
BPI_Challenge_2020_DomesticDeclarations	IMf	0.82	0.935
BPI_Challenge_2020_DomesticDeclarations	IMd	0.24	0.9842
BPI_Challenge_2020_DomesticDeclarations	ETM	0.31	0.9594
5a_VARA_CIVEL_-_TJMT	IMf	12.61	0.6088
5a_VARA_CIVEL_-_TJMT	IMd	0.31	0.5364
5a_VARA_CIVEL_-_TJMT	ETM	1.27	0.4301
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMf	0.3	0.6065
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMd	0.45	0.7063
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	ETM	23.19	0.4778
